Cle,Zone,region_fr,province_fr,cercle_fr,commune_fr,nom_fr,nom_ar,type_localite,caractere_zone,milieu,population,menage,total_menages_sd,Longitude,Latitude
Aghbar - Adouz,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Adouz,أدوز,douar,,rural,245,42,,-8.43824,30.91933
Aghbar - Agadir,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Agadir,أكادير,douar,,rural,343,63,,-8.485546,30.896413
Aghbar - Amndar,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Amndar,أمندار,douar,,rural,660,102,,-8.45734,30.92347
Aghbar - Amssioui,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Amssioui,أمسيوي,douar,,rural,311,53,,-8.4809922,30.896192
Aghbar - Anarghi,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Anarghi,أنرغي,douar,,rural,480,74,,-8.411723,30.921283
Aghbar - Igue,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Igue,إيك,douar,,rural,480,94,4,-8.424982,30.915469
Aghbar - Talmodaate,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Talmodaate,تلمضعت,sous-douar,,rural,18,4,0,-8.418847,30.915225
Aghbar - Igherm,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Igherm,إغرم,douar,,rural,126,23,,-8.46782,30.89734
Aghbar - Ikiss,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Ikiss,إكيس,douar,,rural,520,80,,-8.39513,30.93173
Aghbar - Imlil,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Imlil,إمليل,douar,,rural,223,51,,-8.44244,30.89775
Aghbar - Lamkayat,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Lamkayat,المكايات,douar,,rural,230,40,,-8.39542,30.90212
Aghbar - Tanamerte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Tanamerte,تنمرت,douar,,rural,666,86,,-8.40122,30.91372
Aghbar - Taourirte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Taourirte,توريرت,douar,,rural,282,40,,-2.8935028,34.3983716
Aghbar - Widrarane,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Widrarane,ويدرارن,douar,,rural,220,50,,-8.388317,30.899555
Aghbar - Wizammarne,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Wizammarne,ويزمارن,douar,,rural,140,30,,,
Aghbar - Zaouit Askar,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Zaouit Askar,زاوية أسكار,douar,,rural,86,20,,-8.39657,30.92296
Aghbar - Souk N'Sebt,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Souk N'Sebt,السوق نالسبت,douar,,rural,24,5,2,-6.7012424,32.2973704
Aghbar - Iharoune,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Iharoune,إهارون,sous-douar,,rural,8,2,0,-8.408631,30.908978
Aghbar - Boughazir,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Boughazir,بوغزير,douar,,rural,60,13,,-8.359249,30.922162
Aghbar - Assoul,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Assoul,أسول,douar,,rural,20,4,,-8.344199,30.913799
Aghbar - Zrite,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Zrite,زريت,douar,,rural,440,94,,-8.441641,30.917258
Aghbar - Touyaline,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Touyaline,تويالين,douar,,rural,310,47,,,
Aghbar - Msfarte,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Aghbar,Msfarte,مسفارت,douar,,rural,25,4,,-8.364197,30.894465
Ighil - Agadir N'Imrkhssen,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Agadir N'Imrkhssen,أكادير نإمرخسن,douar,,rural,136,21,,-9.5981072,30.4277547
Ighil - Aghalla,0 - 10km_zone d'impact direct,Marrakech-Safi,Al Haouz,Asni,Ighil,Aghalla,أغلا,douar,,rural,543,98,,-8.37964,31.00183
